n82on12x4n11x3on12x2on11o2xon10o2xo2n12onxn51|4,6 9,6 5,12 9,8 10,7 4,13 4,9 4,7 6,5 5,8 9,5 6,4 10,4 3,7 4,5 3,4 3,5 5,11 3,8 7,12 3,9 4,8 3,10 4,11 5,5 9,10 2,10 8,5 7,11 9,9 10,10 3,11 5,4 4,4 9,4 5,3 4,12 2,12 3,12 10,8 9,7 7,4 8,4 10,9 8,13 9,11 10,6 10,11 7,3 9,3 10,5 6,12 2,8 8,12 9,12 10,13 6,13 10,12 3,6 
n82on12x4n11x3on12x2on11o2xon10o2xo2n12onxn14on36|4,6 
n112xn16on95|8,6 
n98xn13xn16on95|5,9 10,4 
n112xn19on92|8,6 7,8 7,6 6,8 6,7 
n97xn14xn19on92|7,4 7,5 7,8 7,9 
n97xn14xn14on4on92|6,6 
n96x2n14xn14on4on92|5,6 9,6 
n95ox2n14xn14on4on92|6,7 
n95ox2n13x2n14on4on92|6,5 8,7 
n81on13ox2n13x2n14on4on92|5,8 
n81on13ox2n13x2n12xnon4on92|8,5 
n81onon11ox2n13x2n12xnon4on92|5,5 
n80xonon11ox2n13x2n12xnon4on92|8,8 
n80xonon11ox2n13x2n12xno2n3on92|5,7 
n80xonon11ox2n12x3n12xno2n3on92|4,7 
n80xonon11ox2n11ox3n12xno2n3on92|7,4 
n67xn12xonon11ox2n11ox3n12xno2n3on92|8,7 
n67xn12xonon11ox2n11ox3on11xno2n3on92|7,5 
n67xn12xoxon11ox2n11ox3on11xno2n3on92|7,3 
n52on14xn12xoxon11ox2n11ox3on11xno2n3on92|8,4 
n52on14x2n11xoxon11ox2n11ox3on11xno2n3on92|4,8 9,3 8,6 3,8 4,4 8,9 4,9 9,6 6,9 2,9 3,10 3,3 5,10 10,8 6,8 10,5 8,10 9,8 6,4 6,10 5,4 9,4 10,6 4,6 5,9 7,9 9,7 10,4 4,5 6,3 8,3 5,3 3,6 9,9 10,7 10,10 12,7 12,9 7,10 3,7 9,5 11,9 12,6 12,10 13,8 13,9 9,10 10,9 13,7 14,8 14,10 14,6 3,5 5,2 3,4 9,2 10,3 5,1 8,2 2,5 3,9 7,1 7,2 9,1 10,2 4,3 2,7 6,2 11,7 11,8 
n52onon12x2n11xoxon11ox2n11ox3on11xno2n3on92|4,8 
n112xn42on69|8,8 6,7 6,6 
n96xn15xn42on69|4,4 5,5 8,8 9,9 
n96xn15xn31on10on69|7,6 
n96x2n14xn31on10on69|4,9 4,10 6,10 9,8 10,9 8,9 10,8 
n96x2n14xn16on14on10on69|7,5 
n82xn13x2n14xn16on14on10on69|7,8 
n82xn13x2n14xn14onon14on10on69|5,7 
n82xn13x2n12xnxn14onon14on10on69|8,4 
n68on13xn13x2n12xnxn14onon14on10on69|8,6 
n68on13xn13x3n11xnxn14onon14on10on69|9,6 
n68on13xn13x3on10xnxn14onon14on10on69|9,7 
n68on13xn13x3on10xnxnxn12onon14on10on69|8,7 
n68on13xn13x3on10xnxoxn12onon14on10on69|6,9 
