n112xon111|8,8 8,6 
n98xn13xon12on98|6,6 
n96xoxn13xon12on98|8,8 
n80on15xoxn13xon12onxn96|6,5 
n80oxon13xoxn13xon12onxn96|6,4 
n81xn15on14xon111|6,6 
n81xn14xon13oxon111|8,8 
n81xn14xon13oxon14xn15on80|5,5 
n64on15x2n14xon13oxon14xn15on80|4,5 
n64on14x3on13xon13oxon14xn15on80|6,4 6,3 
n51on12onxn12x3on13xon13oxon14xn15on80|7,3 
n112xon14xn15on80|7,9 
n112xon13oxn13xnon80|9,7 
n112xoxn12oxn12oxnon80|6,10 10,6 
n81xn14on15xon111|7,4 
n67xn13xn13o2n15xon111|8,6 
n67xn13xon12o2nxn13xon111|6,8 
n67xn13xonon10o2nxn13xon12xn98|5,7 
n67xn13xonon10o2nxn11xoxon12xn98|4,6 
n67xn10on2xonon9xo2nxn11xoxon12xn98|7,8 
n67xn10on2xonon9xo3xn11xoxon12x2n97|5,8 
n67xn10on2xonon9xo3xn11xoxon11x3on96|5,9 
n67xn10on2xonon9xo3xn11xoxon11x3on11xn13on70|4,8 
n67xn10on2xonon9xo3xn11xoxon9ox4on11xn13on70|3,7 
n67xn10on2xonon7onxo3xn9xnxoxon9ox4on11xn13on70|7,11 
n67xn10on2xonon7onxo3xn9xnxoxon9ox4on11xn13onon15xn52|7,9 
n110xoxon111|5,9 5,5 
n80xn15on13xoxon111|5,6 
n80xn14xon13xoxon11on99|6,5 
n65on14x2n13xon13xoxon11on99|4,5 
n65on13x3on12xon13xoxon11on99|4,7 
n65onon11x3on12xon12x2oxon11on99|4,4 
n64xonon11x3on11oxon12x2oxon11on99|3,5 
n64xonon9ox4on11oxon12x2oxon11on99|5,3 2,6 
n50on13xonon9ox4on9xnoxon12x2oxon11on99|1,7 
n50on13xonon9ox4on9xnoxon9xn2x2oxon6on4on99|3,7 
n50on13xonon9ox4on9xnoxon9xox3oxon6on4on99|3,8 
n64xonon9ox4on9xnoxon9on2x2oxon11on99|5,3 3,8 
n64xonon9ox4on9xnoxon9on2x2oxon9xnon11on87|3,7 3,6 
n64xonon9ox4on9xo2xon9onx3oxon9xnon11on87|4,8 
n64xonon8o2x4on9xo2xon9onx3oxon9x2on11on87|5,9 
n64xonon8o2x4on9xo2xon9onx3oxon9x2on11on2xn15on68|6,8 
n64xonon8o2x4on9xo2xon9onx3oxon9x2oxn10on2xn13onon68|5,3 
n36on13xn13xonon8o2x4on9xo2xon9onx3oxon9x2oxn10on2xn13onon68|3,10 
n36on13xn13xonon8o2x4on9xo2xon9onx3oxon9x2oxn10o2nxn12xonon68|2,8 
n36on13xn13xonon8o2x4on8oxo2xon9onx3oxon8x3oxn10o2nxn12xonon68|1,8 
n36on13xn13xonon8o2x4on8oxo2xon9onx3oxon6ox4oxn10o2nxn12xonon68|1,4 
n36on13xon9xn2xonon8o2x4on8oxo2xon9onx3oxon6ox4oxn10o2nxn12xonon68|3,4 2,4 
