n112xon111|8,8 8,6 7,8 7,6 
n70on27xn13xn13xn2on24on70|9,5 
n70on13xn13xn13xn13xn2on24on70|5,9 
n70on13xn13xn13xn13xn2on10on13on70|7,5 6,6 
n70on13xn11xnxn13xn13xn2on10on13on70|6,10 
n70on13xn11xnxn13xn13xn2on10on13onon68|7,6 
n70on13xn11x3n13xn13xn2on10on13onon68|10,6 
n70on13xn11x3non11xn13xn2on10on13onon68|5,6 
n70on13xn10x4non11xn13xn2on10on13onon68|9,6 
n70on13xn10x4o2n11xn13xn2on10on13onon68|4,6 
n97xn14xon111|7,8 
n97xn14xon13on97|7,5 
n82xn14xn14xon13on97|7,4 
n67on14xn14xn14xon13on97|8,6 
n67on14xn14x2n13xon13on97|9,6 
n67on14xn14x2on12xon13on97|6,9 5,10 
n67on14xn14x2on12xon13on27xn69|10,5 
n67on14xn2on11x2on12xon13on27xn69|6,9 
n67on14xn2on11x2on12xon13on13xn13xn69|11,4 
n97on14xn112|8,7 8,6 6,7 6,6 
n97on13x2n112|8,7 
n97on13x2on111|5,7 
n97on12x3on111|4,7 
n97on11ox3on111|6,6 
n96xon11ox3on111|6,5 
n81on14xon11ox3on111|10,9 9,8 
n81on14xon11ox3on15xn95|5,4 
n65on15on14xon11ox3on15xn95|4,3 
n49xn15on15on14xon11ox3on15xn95|5,6 
n49xn15on15on13oxon11ox3on15xn95|7,4 
n49xn15onxn13on13oxon11ox3on15xn95|3,8 
n49xn15onxn13on13oxon11ox3on9on5xn95|2,9 
n49xn15onxn13on13oxon11ox3on9on5xn7xn87|5,5 
n49xn15onxn12o2n13oxon11ox3on9on5xn7xn87|5,3 
n49x2n14onxn12o2n13oxon11ox3on9on5xn7xn87|4,5 
n49x2n14onxn11o3n13oxon11ox3on9on5xn7xn87|7,5 
n49x2n14onxn11o3xn12oxon11ox3on9on5xn7xn87|3,5 
n49x2n14onxn10o4xn12oxon11ox3on9on5xn7xn87|2,5 
n49x2n14onxn9xo4xn12oxon11ox3on9on5xn7xn87|3,6 
n49x2n14onxn9xo4xn10onoxon11ox3on9on5xn7xn87|4,8 
n49x2n14onxn9xo4xn10onoxon11ox3on9oxn4xn7xn87|3,9 
n49x2n14onxn9xo4xn10onoxon11ox3on9oxn4xn7xon86|8,4 
n84on27xn112|8,8 8,7 7,8 7,6 6,7 6,6 
n84on27x2n111|9,7 
n84on27x2on110|9,6 
n84on14xn12x2on110|10,5 
n84o2n13xn12x2on110|7,8 
n84o2n13xn12x2on12xn97|5,10 6,9 
n84o2n13xn12x2on12xn13on83|7,6 
n84o2n11xnxn12x2on12xn13on83|7,5 
n82ono2n11xnxn12x2on12xn13on83|8,5 
n82oxo2n11xnxn12x2on12xn13on83|8,6 
n82oxo2n11xoxn12x2on12xn13on83|7,9 
n82oxo2n11xoxn12x2on12xn13oxn82|7,10 
n82oxo2n11xoxn12x2on12xn13oxn14on67|6,7 
n82oxo2n11xoxn11x3on12xn13oxn14on67|6,4 
n66on15oxo2n11xoxn11x3on12xn13oxn14on67|10,8 
n66on15oxo2n11xoxn11x3on12xn2xn10oxn14on67|5,3 
n112xn55on56|8,6 
n98xn13xn55on56|4,10 
n98xn13xn41on13on56|9,5 
n84xn13xn13xn41on13on56|5,9 
n84xn13xn13xn27on13on13on56|10,4 
n70xn13xn13xn13xn27on13on13on56|6,8 
n70xn13xn13xn13xn13on13on13on13on56|11,3 
n112xon12xn98|8,6 
n98on13xon12xn98|8,8 
n98on13xon12xnxn96|7,8 
n98on13xon12xoxn96|6,6 
n96xnon13xon12xoxn96|4,4 5,5 9,9 10,10 
n96xnon13xon12xoxn15on80|5,5 
n80xn15xnon13xon12xoxn15on80|4,4 
n64on15xn15xnon13xon12xoxn15on80|6,7 
n64on15xn15xnon12x2on12xoxn15on80|6,9 
n64on15xn15xnon12x2on12xoxn12on2on80|6,5 
n64on15x2n14xnon12x2on12xoxn12on2on80|6,4 
n64onon13x2n14xnon12x2on12xoxn12on2on80|7,5 
n64onon13x3n13xnon12x2on12xoxn12on2on80|9,6 
n64onon13x3n13xno2n11x2on12xoxn12on2on80|5,10 
n64onon13x3n13xno2n11x2on12xoxn12on2on10xn69|10,5 
n79on32xn112|7,8 6,7 
n79on31x2n112|4,7 
n79on29onx2n112|8,7 5,7 
n79on29ox3n112|8,7 9,7 
n79on29ox3non110|6,8 6,6 
n79on29ox3non11xn98|4,6 
n79on14on14ox3non11xn98|4,8 
n79on14on14ox3non9xnxn98|4,4 
n64on14on14on14ox3non9xnxn98|4,3 
n49xn14on14on14on14ox3non9xnxn98|6,6 
n49xn14on14on14onon12ox3non9xnxn98|5,8 
n49xn14on14on14onon12ox3non9x3n98|5,6 
n49xn14on14on14o3n12ox3non9x3n98|7,8 
n49xn14on14on14o3n12ox3non9x4n97|3,8 
n49xn14on14on14o3n12ox3non8ox4n97|8,8 
n84on27xn28xn83|9,6 10,5 
n84o2n26xn28xn83|7,5 
n82xno2n26xn28xn83|8,5 
n82xo3n26xn28xn83|12,5 11,5 
n82xo3xn25xn28xn83|9,4 
n69on12xo3xn25xn28xn83|7,6 
n69on12xo3xn10xn14xn28xn83|7,4 
n67onon12xo3xn10xn14xn28xn83|7,8 
n67onon12xo3xn10xn14xn14xn13xn83|7,9 
n67onon12xo3xn10xn14xn14xn13xon82|5,10 
n67onon12xo3xn10xn14xn14xn13xon12xn69|9,6 
n67onon12xo3xn10xnon12xn14xn13xon12xn69|4,11 
n67onon12xo3xn10xnon12xn14xn13xon12xn13xn55|8,7 
n67onon12xo3xn10xnon12xon13xn13xon12xn13xn55|3,12 
n50on61xn112|8,6 
n50on47xn13xn112|5,9 6,8 9,5 10,4 
n50on47xn13xn27on84|9,5 6,8 
n50on47xn13xn13xn13on84|9,5 10,4 
n50on33on13xn13xn13xn13on84|8,8 6,6 
n50on33on13xn13xn13xnxn11on84|4,4 
n50on13on19on13xn13xn13xnxn11on84|8,7 7,8 
n50on13on19on13xn13x2n12xnxn11on84|8,5 
n50on13on18o2n13xn13x2n12xnxn11on84|8,9 
n50on13on18o2n13xn13x2n12xnxn11on2xn81|8,10 
n50on13on18o2n13xn13x2n12xnxn11on2xn14on66|7,8 
n50on13on18o2n13xn13x2n12x3n11on2xn14on66|4,8 5,8 10,8 
n50on13on18o2n13xn13x2n12x3non9on2xn14on66|5,8 
n50on13on18o2n13xn13x2n11x4non9on2xn14on66|4,8 
n50on13on18o2n13xn13x2n10ox4non9on2xn14on66|9,8 
n98on13x2n111|9,7 
n98on13x2on110|6,7 
n98on12x3on110|4,7 5,7 
n98on10onx3on110|7,6 
n97xon10onx3on110|7,5 
n82on14xon10onx3on110|10,8 
n82on14xon10onx3on15xn94|6,4 
n66on15on14xon10onx3on15xn94|5,3 
n50xn15on15on14xon10onx3on15xn94|6,5 
n50xn15on14o2n14xon10onx3on15xn94|8,5 
n50xn15on14o2xn13xon10onx3on15xn94|5,8 
n50xn15on14o2xn13xon10onx3on10on4xn94|9,4 
n50xn15on2xn11o2xn13xon10onx3on10on4xn94|10,3 
n50xn4on10on2xn11o2xn13xon10onx3on10on4xn94|7,8 
n50xn4on10on2xn11o2xn13xon10onx3on10onxn2xn94|7,10 
n50xn4on10on2xn11o2xn13xon10onx3on10onxn2xn26on67|6,9 
n50xn4on10on2xn11o2xn13xon10onx3on10onxn2xn10xn15on67|5,10 
n50xn4on10on2xn11o2xn13xon10onx3on10onxn2xn10xn13onon67|9,6 
n50xn4on10on2xn11o2xn13xoxn9onx3on10onxn2xn10xn13onon67|10,5 
n50xn4on10on2xn11o2xnon11xoxn9onx3on10onxn2xn10xn13onon67|5,6 
n50xn4on10on2xn11o2xnon9xnxoxn9onx3on10onxn2xn10xn13onon67|4,5 
n50xn4on10on2xn9ono2xnon9xnxoxn9onx3on10onxn2xn10xn13onon67|8,9 
n50xn4on10on2xn9ono2xnon9xnxoxn9onx3on10onxn2xn10xnxn11onon67|9,10 
n50xn4on10on2xn9ono2xnon9xnxoxn9onx3on10onxn2xn10xnxn11ononon65|5,5 
n50xn4on10on2xn9oxo2xnon9xnxoxn9onx3on10onxn2xn10xnxn11ononon65|8,10 
n50xn4on10on2xn9oxo2xnon9xnxoxn9onx3on10onxn2xn10xnxn11ono3n65|6,10 
n50xn4on10on2xn9oxo2xnon9xnxoxn9onx3on10onxn2xn10xnxn11oxo3n65|10,10 
n50xn4on10on2xn9oxo2xnon9xnxoxn9onx3on10onxn2xn10xnxn11oxo4n64|11,10 
n50xn4on10on2xn9oxo2xnon9xnxoxn9onx3on10onxn2xn10xnxn11oxo4xn63|5,4 
n50xn4on9o2n2xn9oxo2xnon9xnxoxn9onx3on10onxn2xn10xnxn11oxo4xn63|6,8 
n50xn4on9o2n2xn9oxo2xnon9xnxoxn9onx3on10ox2n2xn10xnxn11oxo4xn63|6,6 
n50xn4on9o2n2xn9oxo2xnon9xoxoxn9onx3on10ox2n2xn10xnxn11oxo4xn63|6,11 
n112xon43xn67|7,6 8,6 8,8 9,8 
n97on14xon43xn67|7,8 
n97on14xon13xn29xn67|9,8 
n97on14xon13xnon27xn67|7,9 
n97on14xon13xnon12xn14xn67|7,11 
n97on14xon13xnon12xn14xn14on52|6,5 5,4 
n81xn15on14xon13xnon12xn14xn14on52|10,9 
n81xn15on14xon13xnon12xn2on11xn14on52|11,10 
n81xn15on14xon13xnon12xn2on11xn3xn10on52|9,9 
